NPI,Prescriber,Specialty,City,Total Claims,Total Cost,Cost Per Claim,Specialty p95,Outlier Status,Outlier Cost,Priority Group,Priority Rank,Prescribers In Specialty
1003090382,Tillett,Urology,Denver,1246,186400.63,149.6,1044.36,Within specialty norm,0.0,Top 8 priority segment,6,178
1003095845,Navarre,Physician Assistant,Denver,49,458.79,9.36,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003100710,Knapp,Emergency Medicine,Lakewood,63,667.42,10.59,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003103789,Hatch,Dentist,Montrose,333,1039.93,3.12,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003104290,Beharry,Physician Assistant,Englewood,577,15754.46,27.3,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003105636,Higham-Kessler,Gastroenterology,Thornton,267,24898.8,93.25,1942.43,Within specialty norm,0.0,Other qualifying specialty,13,235
1003110172,Nelson,Physician Assistant,Glenwood Springs,541,280801.7,519.04,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003111576,Bartlett,Nurse Practitioner,La Junta,1452,74451.48,51.28,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003116526,Hafertepen,General Surgery,Greenwood Village,119,273.81,2.3,75.42,Within specialty norm,0.0,Other qualifying specialty,30,284
1003116997,Johnson,Nurse Practitioner,Aurora,116,21296.87,183.59,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003117516,Johnson,Nurse Practitioner,Denver,82,793.63,9.68,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003120445,Schneider,Optometry,Fort Collins,113,3323.71,29.41,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003126442,Swim,Nurse Practitioner,Aurora,1277,253595.99,198.59,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003126541,Kuhnen,Emergency Medicine,Fort Collins,41,313.64,7.65,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003130725,Morrell,Dermatology,Grand Junction,202,109581.07,542.48,777.79,Within specialty norm,0.0,Other qualifying specialty,15,278
1003133448,Hermosillo Rodriguez,Internal Medicine,Denver,973,1371616.21,1409.68,536.64,Above own specialty 95th pct,1371616.21,Top 8 priority segment,3,1292
1003135104,Vanderkooy,Emergency Medicine,Aurora,98,384.54,3.92,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003136789,Brougham,Family Practice,Aurora,574,26149.47,45.56,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003137936,Oliver,Urology,Aurora,290,76871.15,265.07,1044.36,Within specialty norm,0.0,Top 8 priority segment,6,178
1003141011,Lo,Optometry,Denver,16,67.51,4.22,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003143850,Xu,Nurse Practitioner,Lakewood,147,877.13,5.97,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003144346,Walker,Dentist,Colorado Springs,69,392.32,5.69,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003147521,Mangrum,Dentist,Westminster,47,143.93,3.06,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003152232,Ayala,Physician Assistant,Lonetree,742,29696.93,40.02,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003153719,Coltrinari,Nurse Practitioner,Grand Junction,58,5339.22,92.06,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003155771,Kron,Physician Assistant,Vail,30,103.97,3.47,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003161324,Philbern,Obstetrics & Gynecology,Colorado Springs,198,25723.38,129.92,248.28,Within specialty norm,0.0,Other qualifying specialty,24,410
1003162728,Walker,Dentist,Lakewood,39,131.14,3.36,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003163486,Seto,Internal Medicine,Lakewood,291,4239.98,14.57,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003170333,Kuhlman,Podiatry,Thornton,331,4078.15,12.32,55.71,Within specialty norm,0.0,Other qualifying specialty,38,171
1003170366,Namavari,Ophthalmology,Greenwood Village,12,13149.44,1095.79,297.81,Above own specialty 95th pct,13149.44,Other qualifying specialty,16,315
1003171612,Flanigan,Physician Assistant,Aurora,413,7962.44,19.28,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003172446,Andreoli,Internal Medicine,Denver,11,66.72,6.07,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003173154,Taylor,Dermatology,Denver,451,5449.82,12.08,777.79,Within specialty norm,0.0,Other qualifying specialty,15,278
1003175571,Sadeghpour,Dermatology,Lone Tree,12,95.78,7.98,777.79,Within specialty norm,0.0,Other qualifying specialty,15,278
1003175878,Reeder,Optometry,Fruita,77,389.15,5.05,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003176223,Nilan,Emergency Medicine,Fort Carson,118,658.31,5.58,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003177247,Faulkner,Nurse Practitioner,Lafayette,1191,1384554.97,1162.51,549.4,Above own specialty 95th pct,1384554.97,Top 8 priority segment,1,3509
1003183260,Lin,Nurse Practitioner,Greenwood Village,571,25925.65,45.4,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003189705,Knudsen,Physician Assistant,Centennial,79,891.51,11.28,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003198151,Lewis,Pharmacist,Colorado Springs,25,5552.55,222.1,300.18,Within specialty norm,0.0,Other qualifying specialty,33,112
1003200635,Shambe,Nurse Practitioner,Aurora,569,163674.13,287.65,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003203373,Smith,Family Practice,Fort Collins,1078,132026.76,122.47,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003205295,Ehler,Nurse Practitioner,Denver,1350,376056.96,278.56,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003210253,Staats,Nurse Practitioner,Thornton,397,10908.72,27.48,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003212184,Mcclendon,Nurse Practitioner,Colorado Springs,1058,488801.54,462.01,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003213745,Ostrom,Nurse Practitioner,Littleton,611,27686.07,45.31,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003218264,Harlow,Physician Assistant,Colorado Springs,16,71.34,4.46,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003220260,Woodbeck,Oral Surgery (Dentist only),Englewood,225,1344.03,5.97,8.13,Within specialty norm,0.0,Other qualifying specialty,45,125
1003220815,Bird,Physician Assistant,Lafayette,515,562432.14,1092.1,537.98,Above own specialty 95th pct,562432.14,Top 8 priority segment,2,3010
1003229998,Reid,Physician Assistant,Vail,884,3999.65,4.52,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003230988,Long,Physician Assistant,Aurora,82,5562.54,67.84,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003233479,Elliott,Nurse Practitioner,Rocky Ford,5582,782378.66,140.16,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003234030,Bumol,Psychiatry,Denver,3846,856320.97,222.65,314.64,Within specialty norm,0.0,Other qualifying specialty,20,278
1003234162,Mcdiarmid,Interventional Cardiology,Thornton,1453,298792.15,205.64,373.89,Within specialty norm,0.0,Other qualifying specialty,14,76
1003234535,Orth,Emergency Medicine,Denver,112,1064.57,9.51,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003236936,Burkholz,Gastroenterology,Colorado Springs,579,157108.89,271.35,1942.43,Within specialty norm,0.0,Other qualifying specialty,13,235
1003240862,Anthony,Nurse Practitioner,Aurora,51,768.71,15.07,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003248279,Doherty,Physician Assistant,Evans,512,23002.88,44.93,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003249434,Feeley,Physician Assistant,Denver,320,3050.3,9.53,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003251703,Linker,Emergency Medicine,Lone Tree,24,83.24,3.47,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003257338,Brady,Physician Assistant,Colorado Springs,36,97.2,2.7,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003257742,Poeppelman,Physician Assistant,Highlands Ranch,1151,54624.31,47.46,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003268129,Bredbeck,General Surgery,Gunnison,70,567.66,8.11,75.42,Within specialty norm,0.0,Other qualifying specialty,30,284
1003268871,Hilliker,Family Practice,Delta,54,405.37,7.51,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003274192,Strack,Physician Assistant,Loveland,2629,1050422.55,399.55,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003276528,Black,Pulmonary Disease,Colorado Springs,442,462951.91,1047.4,5397.8,Within specialty norm,0.0,Top 8 priority segment,7,154
1003279647,Galant-Swafford,Allergy/ Immunology,Denver,417,385882.67,925.38,1789.93,Within specialty norm,0.0,Other qualifying specialty,22,69
1003282203,Turnbaugh,Nurse Practitioner,Colorado Springs,598,47013.1,78.62,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003286055,Johnson,Dentist,Kiowa,16,77.13,4.82,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003292137,Strickland,Nurse Practitioner,Gunnison,128,2641.63,20.64,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003293408,Lewis,Family Practice,Lafayette,507,58672.74,115.73,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003297102,Ng,Family Practice,Aurora,1165,44553.16,38.24,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003303173,Mosher,Family Practice,Denver,4869,578248.72,118.76,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003308099,Wood,Dentist,Salida,96,485.83,5.06,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003311044,Callinan,Obstetrics & Gynecology,Aurora,15,2168.41,144.56,248.28,Within specialty norm,0.0,Other qualifying specialty,24,410
1003311390,Mckimpson,Family Practice,Loveland,12,323.84,26.99,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003312711,Anderson,Internal Medicine,Golden,55,283.39,5.15,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003314576,Pinaroc,Nurse Practitioner,Denver,29,236.55,8.16,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003320870,Pohlit,Physician Assistant,Longmont,63,1362.74,21.63,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003332214,Muzic,Nurse Practitioner,Montrose,61,4630.54,75.91,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003337148,Vigueras,Physician Assistant,Colorado Springs,40,145.7,3.64,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003342981,Pham,Physician Assistant,Pueblo,361,28954.56,80.21,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003355306,Befferman,Physician Assistant,Northglenn,894,101356.62,113.37,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003357286,Bensing,Family Practice,Highlands Ranch,2474,87382.15,35.32,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003357369,Bross,Hospitalist,Westminster,142,1414.29,9.96,330.61,Within specialty norm,0.0,Other qualifying specialty,31,258
1003369125,Jones,Dentist,Grand Junction,19,51.95,2.73,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003369240,Pence,Physician Assistant,Leadville,105,918.08,8.74,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003375908,Chen,Internal Medicine,Denver,1941,77556.96,39.96,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003406406,Nguyen,Physician Assistant,Aurora,27,129.98,4.81,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003410754,Craven,Nurse Practitioner,Parker,391,4033.5,10.32,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003431669,Martin,Nurse Practitioner,Denver,2813,694307.22,246.82,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003432600,Patel,Internal Medicine,Aurora,122,43389.53,355.65,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003435306,Garner,Family Practice,Denver,313,35790.55,114.35,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003443631,Viseur,Family Practice,Parker,627,27000.97,43.06,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003447905,Vitale,Physician Assistant,Littleton,492,41425.94,84.2,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003456203,Wogan,Nurse Practitioner,Montrose,176,1692.76,9.62,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003457276,Civili,Nurse Practitioner,Castle Rock,218,19279.29,88.44,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003464603,Paturzo,Physician Assistant,Lakewood,112,2998.3,26.77,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003464934,Wall,Nurse Practitioner,Grand Junction,26,93.73,3.6,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003467119,Skrenta,Physician Assistant,Aurora,29,81458.71,2808.92,537.98,Above own specialty 95th pct,81458.71,Top 8 priority segment,2,3010
1003477555,Williams,Optometry,Aurora,50,349.34,6.99,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003480302,Stelter,Nurse Practitioner,Lone Tree,42,31826.94,757.78,549.4,Above own specialty 95th pct,31826.94,Top 8 priority segment,1,3509
1003481300,Oaks,Nurse Practitioner,Hugo,93,4310.18,46.35,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003492364,Tannenbaum,Physician Assistant,Englewood,793,276894.2,349.17,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003492463,Bogdajewicz,Nurse Practitioner,Aurora,37,1018.21,27.52,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003496712,Bridges,Family Practice,Longmont,119,658.99,5.54,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003498403,Northrop,Nurse Practitioner,Englewood,87,1071.13,12.31,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003509522,Wohlford,Dentist,Arvada,11,43.03,3.91,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003509969,Zrik,Dentist,Wellington,23,71.61,3.11,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003512096,Bauman,Physician Assistant,Timnath,105,515.27,4.91,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003538521,Lehto,Nurse Practitioner,Lakewood,777,8541.75,10.99,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003541400,Schroeder,Nurse Practitioner,Aurora,275,3626.42,13.19,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003556614,Darnell,Student in an Organized Health Care Education/Training Program,Grand Junction,688,63241.59,91.92,304.46,Within specialty norm,0.0,Other qualifying specialty,36,235
1003558362,Kilpatrick,Nurse Practitioner,Denver,246,3031.12,12.32,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003559659,Dawson,Student in an Organized Health Care Education/Training Program,Aurora,15,32.09,2.14,304.46,Within specialty norm,0.0,Other qualifying specialty,36,235
1003568130,Hickey,Physician Assistant,Steamboat Springs,97,683.23,7.04,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003571241,Hernquist,Nurse Practitioner,Aurora,1176,430888.3,366.4,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003574005,Kersch,Nurse Practitioner,Peyton,4272,276455.72,64.71,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003574286,Cochran,Physician Assistant,Highlands Ranch,122,4297.93,35.23,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003579897,Grabocka,Physician Assistant,Highlands Ranch,1187,35890.62,30.24,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003659913,L'ami,Optometry,Englewood,11,287.59,26.14,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003681859,Berkenbile,Pharmacist,Aspen,33,8697.0,263.55,300.18,Within specialty norm,0.0,Other qualifying specialty,33,112
1003687567,Yaqeen,Dentist,Aurora,18,60.91,3.38,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003800301,Segro,Nurse Practitioner,Englewood,24,169205.68,7050.24,549.4,Above own specialty 95th pct,169205.68,Top 8 priority segment,1,3509
1003801671,Cooper,Obstetrics & Gynecology,Westminster,58,3255.31,56.13,248.28,Within specialty norm,0.0,Other qualifying specialty,24,410
1003807520,Shah,Gastroenterology,Denver,41,672.67,16.41,1942.43,Within specialty norm,0.0,Other qualifying specialty,13,235
1003807983,Parkhie,Nephrology,Denver,297,26615.42,89.61,421.35,Within specialty norm,0.0,Other qualifying specialty,23,117
1003810482,Weber,Family Practice,Conifer,3866,367465.97,95.05,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003822198,Hicks,Internal Medicine,Greenwood Village,488,3806.75,7.8,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003827106,Neeley,Internal Medicine,Denver,6229,326193.82,52.37,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003827585,Francu,Internal Medicine,Denver,5243,330850.81,63.1,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003828930,Knechtel,Dentist,Longmont,98,449.73,4.59,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003834573,Miller,Optometry,Englewood,78,8288.41,106.26,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003839358,Szabo,Dermatology,Highlands Ranch,395,52546.29,133.03,777.79,Within specialty norm,0.0,Other qualifying specialty,15,278
1003845249,Weiner,Gastroenterology,Thornton,516,41291.71,80.02,1942.43,Within specialty norm,0.0,Other qualifying specialty,13,235
1003859075,Jones,Urology,Highlands Ranch,627,33456.87,53.36,1044.36,Within specialty norm,0.0,Top 8 priority segment,6,178
1003861030,Kovalak,Gastroenterology,Englewood,255,16034.33,62.88,1942.43,Within specialty norm,0.0,Other qualifying specialty,13,235
1003861261,Klein,Family Practice,Greenwood Village,2065,209796.0,101.6,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003865049,Jurgens,Emergency Medicine,La Junta,169,1265.33,7.49,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003866393,Aboaf,Internal Medicine,Centennial,5147,595517.68,115.7,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003866880,Brekhus,Family Practice,Denver,49,248.85,5.08,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003868209,Hirsch,Cardiology,Denver,352,95727.03,271.95,481.64,Within specialty norm,0.0,Top 8 priority segment,8,205
1003871468,Reinhard,Physical Medicine and Rehabilitation,Aurora,251,5256.35,20.94,172.51,Within specialty norm,0.0,Other qualifying specialty,25,176
1003873357,Stull,Orthopedic Surgery,Aurora,14,10.82,0.77,20.52,Within specialty norm,0.0,Other qualifying specialty,40,367
1003877234,White,Plastic and Reconstructive Surgery,Greenwood Village,134,2362.84,17.63,16.19,Above own specialty 95th pct,2362.84,Other qualifying specialty,46,38
1003878083,Gottlob,Sports Medicine,Golden,21,47.04,2.24,14.93,Within specialty norm,0.0,Other qualifying specialty,39,33
1003881897,Baer,Orthopedic Surgery,Fort Collins,101,839.43,8.31,20.52,Within specialty norm,0.0,Other qualifying specialty,40,367
1003885393,Reed,Otolaryngology,Englewood,1088,15931.73,14.64,54.82,Within specialty norm,0.0,Other qualifying specialty,35,176
1003886334,Rahill,Orthopedic Surgery,Colorado Springs,42,1064.3,25.34,20.52,Above own specialty 95th pct,1064.3,Other qualifying specialty,40,367
1003886995,Walton,Dentist,Fort Collins,426,1835.06,4.31,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003887597,Parker,Family Practice,Northglenn,5687,638936.69,112.35,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003889353,Loury,Otolaryngology,Fort Collins,42,829.8,19.76,54.82,Within specialty norm,0.0,Other qualifying specialty,35,176
1003889833,Checa,Anesthesiology,Englewood,802,23957.56,29.87,96.81,Within specialty norm,0.0,Other qualifying specialty,37,35
1003889890,Westfall,Emergency Medicine,Colorado Springs,79,559.0,7.08,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
1003892761,Allen,Family Practice,Longmont,4318,453634.89,105.06,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003895293,Bach,Family Practice,Parker,141,1728.5,12.26,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003895996,Havey,Dentist,Peterson Afb,29,136.7,4.71,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003896408,Greenberg,Family Practice,Durango,38544,1612886.07,41.85,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003898685,Davis,Podiatry,Northglenn,70,348.78,4.98,55.71,Within specialty norm,0.0,Other qualifying specialty,38,171
1003898883,Mcnutt,Neurology,Denver,2237,573040.78,256.16,2842.74,Within specialty norm,0.0,Other qualifying specialty,12,212
1003900531,Johnson,Dentist,Fort Collins,33,79.32,2.4,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003902586,Morrill,Dentist,Denver,33,117.16,3.55,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003903139,Pereira,Internal Medicine,Littleton,6937,727136.95,104.82,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003904707,Watson,Psychiatry,Aurora,510,10206.99,20.01,314.64,Within specialty norm,0.0,Other qualifying specialty,20,278
1003908344,Johnston,Internal Medicine,Colorado Springs,87,557.03,6.4,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003909219,Baer,Physical Medicine and Rehabilitation,Aurora,1040,159905.53,153.76,172.51,Within specialty norm,0.0,Other qualifying specialty,25,176
1003909458,Pacheco,Dermatology,Aurora,1012,861416.57,851.2,777.79,Above own specialty 95th pct,861416.57,Other qualifying specialty,15,278
1003909482,Simmons,Optometry,Colorado Springs,585,249148.45,425.89,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003910647,Rothman,Endocrinology,Aurora,834,628771.25,753.92,999.26,Within specialty norm,0.0,Other qualifying specialty,28,94
1003914599,Weber,Obstetrics & Gynecology,Littleton,195,21860.75,112.11,248.28,Within specialty norm,0.0,Other qualifying specialty,24,410
1003917246,Rieniets,Endocrinology,Fruita,773,444844.63,575.48,999.26,Within specialty norm,0.0,Other qualifying specialty,28,94
1003921982,Odell,Nurse Practitioner,Denver,1181,77741.67,65.83,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003923301,Wiebe,General Surgery,Wheat Ridge,57,453.43,7.95,75.42,Within specialty norm,0.0,Other qualifying specialty,30,284
1003928649,Butterman,Dentist,Centennial,31,246.66,7.96,7.93,Above own specialty 95th pct,246.66,Other qualifying specialty,42,1986
1003936147,Bennett,Dentist,Arvada,18,53.02,2.95,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003936303,Parsons,Dentist,Arvada,72,464.83,6.46,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003943028,Pino,Orthopedic Surgery,Denver,62,510.9,8.24,20.52,Within specialty norm,0.0,Other qualifying specialty,40,367
1003943911,Sanders,Dentist,Aurora,89,1157.84,13.01,7.93,Above own specialty 95th pct,1157.84,Other qualifying specialty,42,1986
1003946948,Melchior,Orthopedic Surgery,Lafayette,75,473.69,6.32,20.52,Within specialty norm,0.0,Other qualifying specialty,40,367
1003952516,Frutchey,Dentist,Louisville,44,169.69,3.86,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003953316,Green,Dentist,Durango,29,176.25,6.08,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003958067,Smith,Optometry,Rifle,34,903.02,26.56,540.42,Within specialty norm,0.0,Other qualifying specialty,17,523
1003965203,Ortiz,Physician Assistant,Westminster,242,6748.86,27.89,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003982067,Uthoff,Dentist,Bayfield,53,217.97,4.11,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003983297,Hartvigsen,Dentist,Westminster,18,66.56,3.7,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003983750,Paisley,Dentist,Brighton,22,145.42,6.61,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003984964,Whittier,Obstetrics & Gynecology,Denver,26,1003.84,38.61,248.28,Within specialty norm,0.0,Other qualifying specialty,24,410
1003986076,Fowler,Emergency Medicine,Cortez,11,70.47,6.41,47.7,Within specialty norm,0.0,Other qualifying specialty,21,708
